TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Offence Against a Person,2018,7,22,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,8,20,10.0,43.0,20XX W 42ND AVE,Kerrisdale,488739.0,5453436.0
Theft from Vehicle,2018,5,10,22.0,17.0,25XX KINGSWAY AVE,Renfrew-Collingwood,496015.15,5454169.03
Theft from Vehicle,2018,6,20,23.0,0.0,25XX KINGSWAY AVE,Renfrew-Collingwood,496015.15,5454169.03
Mischief,2018,12,30,14.0,0.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Mischief,2018,12,11,12.0,12.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Mischief,2018,11,15,9.0,21.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Mischief,2018,10,9,11.0,58.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Mischief,2018,7,21,11.0,30.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Mischief,2018,7,14,20.0,30.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Break and Enter Commercial,2018,1,13,7.0,35.0,3XX W BROADWAY AVE,Mount Pleasant,491912.56,5456720.04
Vehicle Collision or Pedestrian Struck (with Injury),2018,11,29,14.0,1.0,20XX GRANVILLE BRDG,Fairview,489928.0,5457141.0
Mischief,2018,5,29,19.0,36.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Theft from Vehicle,2018,6,29,23.0,0.0,25XX KINGSWAY AVE,Renfrew-Collingwood,496015.15,5454169.03
Vehicle Collision or Pedestrian Struck (with Injury),2018,8,31,12.0,13.0,20XX GRANVILLE BRDG,Fairview,489928.0,5457141.0
Offence Against a Person,2018,11,17,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Mischief,2018,5,10,20.0,21.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Break and Enter Commercial,2018,6,8,16.0,30.0,3XX W BROADWAY AVE,Mount Pleasant,491915.27,5456719.96
Mischief,2018,5,4,18.0,0.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Mischief,2018,4,19,19.0,30.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Theft from Vehicle,2018,7,28,20.0,0.0,25XX KINGSWAY AVE,Renfrew-Collingwood,496015.15,5454169.03
Mischief,2018,4,16,14.0,0.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Theft from Vehicle,2018,3,26,19.0,30.0,10XX E 52ND AVE,Sunset,493791.39,5452205.56
Mischief,2018,4,8,12.0,35.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Mischief,2018,3,3,0.0,3.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Theft from Vehicle,2018,1,19,1.0,0.0,10XX E 54TH AVE,Sunset,493861.07,5451972.18
Mischief,2018,1,4,18.0,1.0,8X W PENDER ST,Central Business District,492206.87,5458693.46
Mischief,2018,11,30,20.0,4.0,8X W GEORGIA ST,Central Business District,492057.07,5458263.12
Theft from Vehicle,2018,2,9,15.0,45.0,25XX KINGSWAY AVE,Renfrew-Collingwood,496019.27,5454166.16
Theft from Vehicle,2018,7,14,0.0,0.0,16XX E 8TH AVE,Grandview-Woodland,494832.33,5456719.66
Mischief,2018,12,31,11.0,6.0,3XX SW MARINE DR,Marpole,491652.58,5450915.32
Mischief,2018,8,5,12.0,23.0,3XX SKEENA ST,Hastings-Sunrise,497944.93,5458810.83
Theft from Vehicle,2018,3,5,21.0,50.0,25XX KINGSWAY AVE,Renfrew-Collingwood,496072.32,5454127.38
Theft from Vehicle,2018,3,27,19.0,0.0,25XX KINGSWAY AVE,Renfrew-Collingwood,496072.32,5454127.38
Theft from Vehicle,2018,5,13,21.0,39.0,25XX KINGSWAY AVE,Renfrew-Collingwood,496072.32,5454127.38
Theft from Vehicle,2018,6,3,20.0,0.0,25XX KINGSWAY AVE,Renfrew-Collingwood,496072.32,5454127.38
Theft from Vehicle,2018,7,27,17.0,0.0,2XX W 7TH AVE,Mount Pleasant,492005.05,5456890.04
Theft from Vehicle,2018,4,14,16.0,30.0,16XX E 8TH AVE,Grandview-Woodland,494900.71,5456693.16
Theft from Vehicle,2018,1,6,12.0,0.0,16XX E BROADWAY AVE,Kensington-Cedar Cottage,494783.06,5456617.78
Theft from Vehicle,2018,9,12,21.0,30.0,10XX E 56TH AVE,Sunset,493893.5,5451802.88
Theft from Vehicle,2018,11,16,15.0,0.0,16XX E BROADWAY AVE,Grandview-Woodland,494785.85,5456626.88
Theft from Vehicle,2018,1,24,8.0,30.0,10XX E 57TH AVE,Sunset,493816.57,5451720.92
Break and Enter Commercial,2018,11,13,13.0,40.0,6XX EVANS AVE,Strathcona,493407.06,5457733.56
Offence Against a Person,2018,8,17,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Offence Against a Person,2018,10,23,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Mischief,2018,12,6,8.0,41.0,8X W 1ST AVE,Mount Pleasant,492257.97,5457491.65
Vehicle Collision or Pedestrian Struck (with Injury),2018,3,8,4.0,4.0,20XX BLOCK E HASTINGS ST,Grandview-Woodland,495395.0,5458717.0
Theft from Vehicle,2018,4,4,20.0,30.0,10XX E 58TH AVE,Sunset,493781.32,5451612.93
Mischief,2018,11,6,2.0,7.0,8X SW MARINE DR,Marpole,492133.88,5451085.44
Theft of Bicycle,2018,5,11,19.0,30.0,1XX W HASTINGS ST,Central Business District,492110.84,5458834.1
Other Theft,2018,8,8,18.0,25.0,4XX GRANVILLE ST,Central Business District,491645.64,5459110.62
Mischief,2018,6,8,23.0,25.0,8X SW MARINE DR,Marpole,492125.89,5451063.23
Other Theft,2018,8,31,17.0,30.0,4XX GRANVILLE ST,Central Business District,491645.64,5459110.62
Mischief,2018,5,30,22.0,0.0,8X SW MARINE DR,Marpole,492125.89,5451063.23
Theft of Bicycle,2018,6,14,16.0,0.0,1XX W HASTINGS ST,Central Business District,492099.66,5458847.01
Theft of Bicycle,2018,5,24,5.0,50.0,1XX W HASTINGS ST,Central Business District,492099.66,5458847.01
Mischief,2018,2,19,1.0,0.0,8X SW MARINE DR,Marpole,492125.89,5451063.23
Theft from Vehicle,2018,4,4,22.0,0.0,10XX E 58TH AVE,Sunset,493781.32,5451612.93
Mischief,2018,1,28,9.0,27.0,8X SW MARINE DR,Marpole,492125.89,5451063.23
Mischief,2018,1,17,19.0,36.0,8X SW MARINE DR,Marpole,492125.89,5451063.23
Theft from Vehicle,2018,9,14,20.0,0.0,2XX W BROADWAY AVE,Mount Pleasant,492008.7,5456717.32
Offence Against a Person,2018,7,18,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Offence Against a Person,2018,9,27,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,7,21,22.0,0.0,10XX E 58TH AVE,Sunset,493781.32,5451612.93
Theft of Bicycle,2018,8,31,18.0,30.0,1XX W GEORGIA ST,Central Business District,491892.35,5458408.29
Theft of Bicycle,2018,8,26,23.0,0.0,1XX W GEORGIA ST,Central Business District,491892.35,5458408.29
Mischief,2018,11,19,9.0,0.0,8X POWELL ST,Central Business District,492541.12,5458944.43
Mischief,2018,1,17,19.0,30.0,8X POWELL ST,Central Business District,492541.12,5458944.43
Theft from Vehicle,2018,7,27,23.0,0.0,25XX KINGSWAY AVE,Renfrew-Collingwood,496072.32,5454127.38
Theft from Vehicle,2018,7,7,9.0,0.0,16XX E BROADWAY AVE,Grandview-Woodland,494884.29,5456625.52
Other Theft,2018,9,21,13.0,15.0,4XX GRANVILLE ST,Central Business District,491645.64,5459110.62
Offence Against a Person,2018,2,3,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,4,23,13.0,45.0,2XX W BROADWAY AVE,Mount Pleasant,492020.74,5456707.83
Theft from Vehicle,2018,7,7,9.0,45.0,16XX E BROADWAY AVE,Grandview-Woodland,494884.29,5456625.52
Vehicle Collision or Pedestrian Struck (with Injury),2018,4,2,18.0,22.0,1XX E WATERFRONT RD,Central Business District,492638.0,5459083.0
Break and Enter Residential/Other,2018,10,27,14.0,58.0,25XX E 1ST AVE,Hastings-Sunrise,496045.12,5457402.51
Mischief,2018,8,6,7.0,8.0,8X EXPO BLVD,Central Business District,492269.12,5458380.89
Theft from Vehicle,2018,8,10,21.0,0.0,16XX E GEORGIA ST,Grandview-Woodland,494716.35,5458414.52
Theft from Vehicle,2018,5,16,14.0,31.0,10XX E 58TH AVE,Sunset,493936.86,5451622.16
Other Theft,2018,1,6,17.0,15.0,7XX W GEORGIA ST,Central Business District,491409.22,5458870.38
Other Theft,2018,11,14,17.0,53.0,4XX GRANVILLE ST,Central Business District,491645.64,5459110.62
Other Theft,2018,1,23,10.0,35.0,17XX W BROADWAY AVE,Fairview,489495.17,5456773.82
Other Theft,2018,6,11,9.0,19.0,17XX W BROADWAY AVE,Fairview,489495.17,5456773.82
Other Theft,2018,10,1,10.0,1.0,17XX W BROADWAY AVE,Fairview,489495.17,5456773.82
Other Theft,2018,6,22,15.0,22.0,9XX DAVIE ST,Central Business District,490672.92,5458414.31
Other Theft,2018,8,21,16.0,17.0,34XX E HASTINGS ST,Hastings-Sunrise,497915.82,5458704.67
Offence Against a Person,2018,1,1,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Mischief,2018,8,22,11.0,18.0,8X E CORDOVA ST,Central Business District,492538.0,5458853.37
Mischief,2018,12,15,11.0,50.0,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Theft from Vehicle,2018,12,22,13.0,45.0,16XX E HASTINGS ST,Grandview-Woodland,494722.37,5458724.33
Theft from Vehicle,2018,11,9,8.0,12.0,2XX W BROADWAY AVE,Mount Pleasant,492020.74,5456707.83
Theft from Vehicle,2018,4,17,16.0,30.0,RICHARDS ST / W GEORGIA ST,Central Business District,491549.42,5458724.17
Theft from Vehicle,2018,2,15,21.0,30.0,16XX E HASTINGS ST,Grandview-Woodland,494731.99,5458733.17
Theft of Bicycle,2018,10,9,21.0,15.0,1XX W CORDOVA ST,Central Business District,492226.53,5458910.82
Theft from Vehicle,2018,11,29,6.0,45.0,34XX E 49TH AVE,Killarney,497878.01,5452348.57
Break and Enter Residential/Other,2018,3,3,5.0,10.0,19XX KINGSWAY AVE,Kensington-Cedar Cottage,495216.73,5454732.99
Theft from Vehicle,2018,7,9,22.0,54.0,25XX KINGSWAY AVE,Renfrew-Collingwood,496133.99,5454084.3
Theft from Vehicle,2018,11,1,12.0,0.0,2XX W CORDOVA ST,Central Business District,492114.19,5458940.61
Other Theft,2018,1,4,15.0,15.0,7XX W GEORGIA ST,Central Business District,491409.22,5458870.38
Offence Against a Person,2018,1,1,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,1,14,20.0,30.0,25XX KITCHENER ST,Hastings-Sunrise,496022.55,5457723.85
Theft from Vehicle,2018,9,14,17.0,0.0,16XX E KENT AVE S,Victoria-Fraserview,494602.2,5450717.18
Theft from Vehicle,2018,2,21,9.0,17.0,16XX E PENDER ST,Grandview-Woodland,494720.11,5458615.04
Break and Enter Residential/Other,2018,1,21,16.0,0.0,19XX KITCHENER ST,Grandview-Woodland,495275.21,5457710.56
Break and Enter Commercial,2018,2,2,18.0,30.0,3XX W CORDOVA ST,Central Business District,492055.59,5458981.53
Theft from Vehicle,2018,9,3,17.0,0.0,16XX E PENDER ST,Grandview-Woodland,494720.11,5458615.04
Theft from Vehicle,2018,4,29,18.0,0.0,25XX KITCHENER ST,Hastings-Sunrise,496022.55,5457723.85
Theft from Vehicle,2018,3,3,22.0,0.0,2XX W CORDOVA ST,Central Business District,492140.11,5458933.73
Theft from Vehicle,2018,1,8,20.0,30.0,16XX E PENDER ST,Grandview-Woodland,494779.27,5458613.99
Offence Against a Person,2018,8,3,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Other Theft,2018,1,15,14.0,55.0,18XX COMMERCIAL DR,Grandview-Woodland,494935.74,5457287.22
Other Theft,2018,2,12,19.0,55.0,18XX COMMERCIAL DR,Grandview-Woodland,494935.74,5457287.22
Theft from Vehicle,2018,2,19,15.0,30.0,25XX KITCHENER ST,Hastings-Sunrise,496054.66,5457723.7
Theft of Vehicle,2018,7,9,10.0,16.0,26XX W 1ST AVE,Kitsilano,488004.17,5457591.66
Theft from Vehicle,2018,4,23,6.0,30.0,2XX W CORDOVA ST,Central Business District,492140.11,5458933.73
Theft from Vehicle,2018,8,7,0.0,0.0,2XX W CORDOVA ST,Central Business District,492140.11,5458933.73
Mischief,2018,12,17,0.0,0.0,88XX OSLER ST,Marpole,490409.36,5450321.87
Theft from Vehicle,2018,1,25,1.0,0.0,16XX FRANCES ST,Grandview-Woodland,494718.36,5458514.96
Mischief,2018,5,21,23.0,22.0,3XX ROBSON ST,Central Business District,491555.55,5458465.07
Mischief,2018,8,16,3.0,42.0,88XX OSLER ST,Marpole,490408.51,5450284.64
Theft from Vehicle,2018,3,14,20.0,30.0,RICHARDS ST / W GEORGIA ST,Central Business District,491549.42,5458724.17
Theft from Vehicle,2018,12,11,19.0,30.0,25XX KITCHENER ST,Hastings-Sunrise,496198.77,5457723.03
Theft from Vehicle,2018,11,27,19.0,15.0,16XX FRANCES ST,Grandview-Woodland,494718.36,5458514.96
Other Theft,2018,5,9,12.0,10.0,34XX KINGSWAY AVE,Renfrew-Collingwood,497634.08,5453286.51
Other Theft,2018,6,5,14.0,23.0,34XX KINGSWAY AVE,Renfrew-Collingwood,497634.08,5453286.51
Other Theft,2018,6,10,18.0,0.0,34XX KINGSWAY AVE,Renfrew-Collingwood,497634.08,5453286.51
Other Theft,2018,6,17,15.0,46.0,34XX KINGSWAY AVE,Renfrew-Collingwood,497634.08,5453286.51
Break and Enter Residential/Other,2018,1,20,23.0,9.0,19XX LARCH ST,Kitsilano,488192.23,5457336.85
Other Theft,2018,7,11,19.0,18.0,34XX KINGSWAY AVE,Renfrew-Collingwood,497634.08,5453286.51
Other Theft,2018,8,20,12.0,4.0,34XX KINGSWAY AVE,Renfrew-Collingwood,497634.08,5453286.51
Other Theft,2018,9,21,17.0,24.0,34XX KINGSWAY AVE,Renfrew-Collingwood,497634.08,5453286.51
Theft from Vehicle,2018,7,17,18.0,0.0,10XX E 61ST AVE,Sunset,493848.53,5451322.25
Offence Against a Person,2018,5,17,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Other Theft,2018,10,10,18.0,42.0,34XX KINGSWAY AVE,Renfrew-Collingwood,497634.08,5453286.51
Other Theft,2018,11,9,10.0,54.0,34XX KINGSWAY AVE,Renfrew-Collingwood,497634.08,5453286.51
Other Theft,2018,12,5,15.0,50.0,34XX KINGSWAY AVE,Renfrew-Collingwood,497634.08,5453286.51
Mischief,2018,7,2,11.0,0.0,28XX W 37TH AVE,Arbutus Ridge,487760.98,5453980.51
Vehicle Collision or Pedestrian Struck (with Injury),2018,5,12,8.0,12.0,1XX BLOCK MAIN ST,Strathcona,492764.0,5459031.0
Theft from Vehicle,2018,1,12,18.0,0.0,16XX FRANCES ST,Grandview-Woodland,494740.35,5458523.64
Theft from Vehicle,2018,10,30,13.0,0.0,10XX E 63RD AVE,Sunset,493759.55,5451123.82
Offence Against a Person,2018,10,16,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,4,9,23.0,50.0,10XX E 63RD AVE,Sunset,493935.57,5451118.82
Mischief,2018,7,11,21.0,40.0,2XX W HASTINGS ST,Central Business District,492024.4,5458870.11
Vehicle Collision or Pedestrian Struck (with Injury),2018,6,26,11.0,25.0,1XX BLOCK E PENDER ST,Central Business District,492585.0,5458636.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,11,29,23.0,27.0,1XX BLOCK E HASTINGS ST,Central Business District,492598.0,5458742.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,11,21,11.0,20.0,1XX BLOCK E HASTINGS ST,Central Business District,492598.0,5458742.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,9,19,21.0,48.0,1XX BLOCK E HASTINGS ST,Central Business District,492598.0,5458742.0
Mischief,2018,6,18,11.0,0.0,2XX W HASTINGS ST,Central Business District,492023.91,5458870.57
Theft from Vehicle,2018,1,25,0.0,1.0,16XX FRANCES ST,Grandview-Woodland,494802.42,5458513.21
Theft from Vehicle,2018,2,24,14.0,0.0,RICHARDS ST / W GEORGIA ST,Central Business District,491549.42,5458724.17
Mischief,2018,5,5,20.0,19.0,2XX W HASTINGS ST,Central Business District,492023.91,5458870.57
Theft from Vehicle,2018,8,6,1.0,55.0,16XX FRANKLIN ST,Grandview-Woodland,494737.76,5458826.07
Theft from Vehicle,2018,9,23,8.0,0.0,2XX W GEORGIA ST,Central Business District,491755.26,5458525.45
Theft from Vehicle,2018,9,18,16.0,0.0,16XX GARDEN DR,Grandview-Woodland,495786.48,5457515.32
Theft from Vehicle,2018,1,13,20.0,0.0,2XX W GEORGIA ST,Central Business District,491755.73,5458512.29
Theft from Vehicle,2018,8,16,20.0,30.0,16XX GRANT ST,Grandview-Woodland,494801.19,5457637.02
Offence Against a Person,2018,3,13,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,8,3,16.0,8.0,16XX GRANT ST,Grandview-Woodland,494820.16,5457627.64
Theft from Vehicle,2018,9,11,21.0,0.0,16XX GRANT ST,Grandview-Woodland,494828.34,5457627.53
Mischief,2018,12,9,19.0,30.0,87XX SW MARINE DR,Marpole,489640.06,5450366.15
Break and Enter Commercial,2018,5,14,20.0,30.0,28XX CAMBIE ST,Mount Pleasant,491636.2,5456319.38
Offence Against a Person,2018,8,18,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Offence Against a Person,2018,6,19,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Break and Enter Commercial,2018,3,11,21.0,30.0,28XX CAMBIE ST,Mount Pleasant,491636.2,5456319.38
Offence Against a Person,2018,8,22,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Mischief,2018,1,3,17.0,0.0,87XX OSLER ST,Marpole,490402.12,5450412.34
Theft from Vehicle,2018,2,19,15.0,45.0,32XX STANLEY PARK DR,Stanley Park,490491.66,5461139.02
Break and Enter Commercial,2018,11,10,9.0,10.0,3XX W GEORGIA ST,Central Business District,491684.61,5458581.07
Mischief,2018,11,24,10.0,52.0,87XX OSLER ST,Marpole,490401.12,5450364.86
Mischief,2018,3,13,1.0,0.0,87XX MONTCALM ST,Marpole,490083.02,5450437.9
Vehicle Collision or Pedestrian Struck (with Injury),2018,9,26,17.0,20.0,1XX BLOCK E CORDOVA ST,Central Business District,492600.0,5458847.0
Theft from Vehicle,2018,7,27,17.0,0.0,2XX W HASTINGS ST,Central Business District,492024.4,5458870.11
Mischief,2018,6,5,9.0,15.0,2XX W GEORGIA ST,Central Business District,491755.26,5458525.45
Theft from Vehicle,2018,6,4,17.0,0.0,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Theft from Vehicle,2018,9,29,22.0,45.0,10XX E 64TH AVE,Sunset,493809.36,5451019.79
Theft from Vehicle,2018,6,4,18.0,0.0,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Break and Enter Commercial,2018,4,18,3.0,41.0,3XX W HASTINGS ST,Central Business District,491936.21,5458957.29
Theft from Vehicle,2018,7,10,2.0,58.0,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Theft from Vehicle,2018,9,6,0.0,0.0,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Theft from Vehicle,2018,9,14,0.0,0.0,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Theft from Vehicle,2018,11,10,6.0,58.0,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Theft from Vehicle,2018,11,30,10.0,14.0,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Theft from Vehicle,2018,12,3,6.0,44.0,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Theft from Vehicle,2018,12,20,9.0,14.0,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Theft of Vehicle,2018,9,17,12.0,0.0,26XX QUEBEC ST,Mount Pleasant,492499.66,5456542.29
Offence Against a Person,2018,10,23,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,2,1,8.0,30.0,RICHARDS ST / W GEORGIA ST,Central Business District,491549.42,5458724.17
Other Theft,2018,6,20,9.0,42.0,9XX DAVIE ST,Central Business District,490672.92,5458414.31
Mischief,2018,6,6,2.0,44.0,2XX W BROADWAY AVE,Mount Pleasant,491992.05,5456708.64
Theft from Vehicle,2018,11,8,0.0,0.0,10XX E 7TH AVE,Mount Pleasant,494011.09,5456833.55
Break and Enter Commercial,2018,12,21,17.0,0.0,6XX EXPO BLVD,Central Business District,492087.69,5458440.43
Other Theft,2018,1,4,11.0,43.0,7XX W GEORGIA ST,Central Business District,491409.22,5458870.38
Offence Against a Person,2018,8,3,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Other Theft,2018,1,1,12.0,12.0,7XX W GEORGIA ST,Central Business District,491409.22,5458870.38
Break and Enter Commercial,2018,1,27,4.0,56.0,6XX EXPO BLVD,Central Business District,492096.01,5458444.89
Other Theft,2018,6,20,16.0,0.0,9XX W GEORGIA ST,Central Business District,491260.69,5459006.29
Theft from Vehicle,2018,11,20,22.0,0.0,16XX GRAVELEY ST,Grandview-Woodland,494797.02,5457525.82
Offence Against a Person,2018,3,3,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,2,23,11.0,35.0,1X W BROADWAY AVE,Mount Pleasant,492345.0,5456701.0
Mischief,2018,11,19,17.0,42.0,87XX FRENCH ST,Marpole,489859.37,5450427.31
Theft from Vehicle,2018,5,6,2.0,45.0,25XX LAKEWOOD DR,Kensington-Cedar Cottage,495491.38,5456610.89
Theft from Vehicle,2018,12,21,17.0,0.0,16XX GRAVELEY ST,Grandview-Woodland,494852.23,5457525.23
Theft from Vehicle,2018,10,21,11.0,0.0,32XX TRUTCH ST,Arbutus Ridge,487190.93,5456117.48
Theft from Vehicle,2018,9,15,16.0,30.0,16XX GRAVELEY ST,Grandview-Woodland,494918.14,5457533.67
Break and Enter Commercial,2018,2,16,3.0,46.0,3XX W HASTINGS ST,Central Business District,491996.1,5458897.1
Theft of Vehicle,2018,7,20,1.0,0.0,26XX PANDORA ST,Hastings-Sunrise,496227.45,5458911.7
Mischief,2018,8,1,21.0,28.0,87XX FREMLIN ST,Marpole,490702.2,5450403.72
Theft from Vehicle,2018,9,3,11.0,0.0,16XX HARO ST,West End,490242.01,5459620.19
Theft from Vehicle,2018,1,20,21.0,0.0,16XX HARO ST,West End,490244.39,5459630.93
Theft from Vehicle,2018,10,3,22.0,0.0,16XX HARO ST,West End,490244.39,5459630.93
Theft of Vehicle,2018,12,14,23.0,0.0,43XX ELGIN ST,Kensington-Cedar Cottage,493984.86,5454862.21
Mischief,2018,11,13,7.0,30.0,87XX ASH ST,Marpole,491330.53,5450421.9
Theft of Bicycle,2018,3,20,21.0,6.0,10XX CANADA PL,Central Business District,491493.31,5459541.98
Mischief,2018,1,28,9.0,46.0,86XX SW MARINE DR,Marpole,489644.58,5450521.3
Theft from Vehicle,2018,5,7,10.0,56.0,16XX HARO ST,West End,490271.86,5459602.27
Mischief,2018,5,9,9.0,9.0,86XX SHAUGHNESSY ST,Marpole,490616.17,5450489.0
Theft from Vehicle,2018,8,5,15.0,0.0,16XX HARO ST,West End,490297.65,5459565.52
Mischief,2018,1,31,12.0,0.0,86XX SHAUGHNESSY ST,Marpole,490607.77,5450525.63
Theft from Vehicle,2018,3,27,16.0,30.0,16XX HARWOOD ST,West End,489679.5,5459100.93
Other Theft,2018,1,3,17.0,27.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,1,3,17.0,48.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,1,10,18.0,47.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,1,13,18.0,1.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,1,14,18.0,0.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,1,17,14.0,58.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,1,19,10.0,57.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,1,19,17.0,32.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,1,28,18.0,57.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,2,10,16.0,45.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,2,25,13.0,29.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,3,1,21.0,30.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,3,2,18.0,55.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,3,5,11.0,0.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,3,13,20.0,2.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,3,24,9.0,32.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,3,24,16.0,19.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,3,25,18.0,8.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,4,6,19.0,35.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,4,14,13.0,8.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,4,23,18.0,53.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,5,6,19.0,0.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,5,20,14.0,48.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,6,24,17.0,58.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,7,14,15.0,19.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,7,20,18.0,19.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,8,11,21.0,10.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,8,20,11.0,25.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,8,20,18.0,12.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,9,2,16.0,31.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,9,13,10.0,37.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,9,13,13.0,40.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,9,19,19.0,31.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,9,20,11.0,55.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,9,21,21.0,13.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
Other Theft,2018,9,27,12.0,14.0,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.65
