Country Name,"Series Name","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
Argentina,"Adolescent fertility rate (births per 1,000 women ages 15-19)","63.8308","63.8792","63.9276","63.976","63.7388","63.5016","63.2644","63.0272","62.79","NA"
Argentina,"Agriculture, forestry, and fishing, value added (% of GDP)","5.27362346890139","7.13216745078964","6.99873377022519","5.7817442068501","6.05291843670451","6.71270351428559","5.1566859021408","6.26456582010254","5.47838222945344","6.14020587171811"
Argentina,"Annual freshwater withdrawals, total (% of internal resources)","NA","NA","NA","12.9075342465753","NA","12.9075342465753","NA","NA","NA","NA"
Argentina,"Births attended by skilled health staff (% of total)","97.9","94.97","97.14","98.2","97.04","99.6","99.6","NA","NA","NA"
Argentina,"CO2 emissions (metric tons per capita)","4.44538780283611","4.60716374803428","4.64437307038597","4.60917985556416","4.49853999490794","4.78150777487432","NA","NA","NA","NA"
Argentina,"Contraceptive prevalence, any methods (% of women ages 15-49)","NA","NA","NA","55.4","81.3","NA","NA","NA","NA","NA"
Argentina,"Domestic credit provided by financial sector (% of GDP)","25.6637910223591","25.3323186486328","26.4659610716203","30.6012215884466","33.1873915714789","34.4321395694616","40.4276279370297","37.9322482578709","38.9248114826703","NA"
Argentina,"Electric power consumption (kWh per capita)","2730.12323163118","2877.65265331343","2929.07502855568","3000.60352326565","2967.37655805218","3074.70207056563","NA","NA","NA","NA"
Argentina,"Energy use (kg of oil equivalent per capita)","1865.33726382679","1928.65235658729","1952.05105293095","1936.80353979442","1967.02167752077","2029.92282543737","NA","NA","NA","NA"
Argentina,"Exports of goods and services (% of GDP)","19.5609850560818","18.9338234053709","18.4492091453155","16.2378594620246","14.6171733884386","14.4054785893756","10.7056520504538","12.5270951690009","11.2427213207093","14.4013571794071"
Argentina,"External debt stocks, total (DOD, current US$)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Argentina,"Fertility rate, total (births per woman)","2.382","2.37","2.358","2.347","2.335","2.322","2.308","2.293","2.277","NA"
